,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Status
0,Afghanistan,58.193749999999994,269.0625,78.25,0.014375000000000002,34.960110065937506,64.5625,2362.25,15.518749999999999,107.5625,48.375,8.2525,52.3125,0.10000000000000002,340.01542546875004,9972259.8125,16.58125,15.581249999999999,0.415375,8.212500000000002,Developing
1,Albania,75.15624999999999,45.0625,0.6875,4.84875,193.25909071062503,98.0,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.10000000000000002,2119.7266788750003,696911.625,1.6187500000000001,1.7,0.709875,12.137499999999998,Developing
2,Algeria,73.61874999999999,108.1875,20.3125,0.4066666666666668,236.18524066862503,78.0,1943.875,48.74375,23.5,91.75,4.604,91.875,0.10000000000000002,2847.8533923125,21649827.4375,6.09375,5.975,0.694875,12.712499999999997,Developing
3,Angola,49.01875,328.5625,83.75,5.740666666666666,102.10026836999998,70.22222222222223,3561.3125,18.01875,132.625,46.125,3.9193333333333342,47.6875,2.36875,1975.1430451187498,10147099.1875,6.1937500000000005,6.668750000000001,0.4583749999999999,8.043750000000001,Developing
4,Antigua and Barbuda,75.05624999999999,127.5,0.0,7.949333333333333,1001.58522632875,98.26666666666667,0.0,38.425000000000004,0.0,96.9375,4.791333333333333,98.3125,0.12500000000000006,9759.305728124998,,3.4250000000000003,3.375,0.4886249999999999,8.84375,Developing
5,Argentina,75.15624999999999,106.0,10.125,7.966666666666667,773.0389813131252,81.28571428571429,2.0,54.98125,11.375,93.375,6.9126666666666665,92.375,0.10000000000000002,6998.575103125,20121204.5,1.0749999999999997,0.9500000000000001,0.794125,16.50625,Developing
6,Armenia,73.39999999999999,117.375,1.0,3.7026666666666666,131.0074187505,87.5625,274.25,44.70625,1.0,89.125,4.8613333333333335,87.375,0.10000000000000002,1999.9863176500003,1015164.625,2.0375,2.1125000000000007,0.698375,11.787500000000001,Developing
7,Australia,81.81250000000001,63.1875,1.0,10.155333333333333,5332.2264727374995,93.4,103.9375,55.8625,1.375,86.75,8.836666666666668,86.875,0.10000000000000002,34637.565046874995,4587009.875,0.66875,0.6249999999999998,0.9181249999999997,20.0375,Developed
8,Austria,81.48124999999999,65.75,0.0,12.235999999999999,4928.439188052499,81.0625,77.25,48.287500000000016,0.0,86.0,4.715333333333334,86.75,0.10000000000000002,33827.47630875,6474879.875,1.7312499999999995,1.9374999999999993,0.862375,15.3875,Developed
9,Azerbaijan,70.73124999999999,115.1875,6.0625,0.9919999999999999,131.1487469148125,59.214285714285715,598.1875,43.84375000000001,7.1875,75.8125,5.679333333333334,82.3125,0.10000000000000002,3302.9478069937504,2157370.5,2.9000000000000004,2.94375,0.7026874999999999,11.35,Developing
10,Bahamas,74.28750000000001,152.0625,0.0,10.271333333333331,0.0,83.6,0.0,52.88125,0.0,95.0,6.706,95.75,0.11875000000000004,,,2.5500000000000007,2.5187500000000003,0.7379375000000001,12.424999999999999,Developing
11,Bahrain,75.72500000000001,65.375,0.0,1.9346666666666663,602.0871396488749,98.125,6.6875,51.65625000000001,0.0,98.0,3.807333333333333,98.0625,0.10000000000000002,11191.247420625003,,6.10625,5.950000000000001,0.8079374999999998,14.1125,Developing
12,Bangladesh,69.3,141.375,153.625,0.01,32.32097151468751,77.61538461538461,4649.9375,12.875,201.5625,87.5,2.8546666666666662,92.75,0.10000000000000002,443.5614810250001,42985163.875,13.775,14.33125,0.517875,8.693750000000001,Developing
13,Barbados,74.35625,77.625,0.0,8.206666666666669,389.07699521375,84.06666666666666,0.0,45.974999999999994,0.0,80.3125,6.122,89.9375,0.25625000000000003,12017.098529375,,3.9562500000000003,3.9187500000000006,0.7704375,14.89375,Developing
14,Belarus,69.90625,218.75,0.5625,13.497333333333332,329.04645533312504,88.9375,24.8125,54.74375,0.875,89.875,6.192000000000001,92.1875,0.10000000000000002,3811.5253479999997,6371866.8125,2.2125,2.3375,0.7432499999999999,14.75,Developing
15,Belgium,80.68124999999999,70.1875,0.25,11.042666666666666,2392.4326567562507,74.5,81.5625,50.89375,1.0,97.75,5.962000000000001,97.3125,0.10000000000000002,16915.305999999997,2884042.5625,0.8625000000000004,0.8562500000000004,0.8777500000000001,16.7875,Developed
16,Belize,69.26875,155.5,0.0,6.252666666666668,365.84348979312506,94.75,0.0,37.67499999999999,0.0,95.5,5.039333333333333,95.1875,0.43125,3933.0121744999997,170392.875,3.5562500000000004,3.4875000000000003,0.6939374999999999,12.456249999999999,Developing
17,Benin,57.568749999999994,269.375,25.0,1.0,43.99195641925,62.57142857142857,1116.875,19.612499999999997,39.25,67.6875,4.636,67.9375,1.7062500000000005,561.167968,3942978.9375,8.25,8.1375,0.43806249999999997,8.85,Developing
18,Bhutan,66.1625,230.25,0.6875,0.2786666666666667,134.76406995375,94.125,80.25,17.581249999999997,0.9375,89.375,5.346,93.875,0.3562499999999999,1353.98694560625,492584.9375,17.21875,17.925,0.183875,10.225000000000001,Developing
19,Bolivia (Plurinational State of),67.70625,177.5,10.75,3.212,0.0,82.875,7.625,44.81875,14.0,81.6875,5.626,87.375,0.15625,,,1.3,1.1874999999999996,0.6337499999999999,13.9625,Developing
20,Bosnia and Herzegovina,75.96875000000001,64.9375,0.0,4.405333333333333,215.45745909824996,71.66666666666667,319.1875,48.9625,0.0,78.3125,8.741999999999999,78.5,0.10000000000000002,2245.0260235624996,1986993.0625,2.78125,2.75625,0.450375,12.225,Developing
21,Botswana,56.05,448.125,2.0,4.67,334.2669708721875,87.3125,237.875,32.24375,3.125,96.1875,5.510666666666666,95.8125,16.525000000000002,4498.285431187499,1063867.375,7.4375,7.8125,0.6303749999999999,12.137500000000001,Developing
22,Brazil,73.38125,150.6875,68.25,7.213333333333333,390.695595171875,96.1875,95.375,47.0625,77.25,98.3125,8.019333333333332,97.9375,0.10000000000000002,6143.161793500001,88128071.25,3.05,3.0124999999999997,0.7101875,14.162500000000001,Developing
23,Brunei Darussalam,76.48750000000001,67.0625,0.0,0.3786666666666667,1276.879485248125,97.875,7.3125,29.71875,0.0,97.5,2.8200000000000003,96.8125,0.10000000000000002,19744.808101874998,,6.199999999999999,5.674999999999999,0.839375,14.106250000000001,Developing
24,Bulgaria,72.85,125.5,0.9375,10.865333333333332,350.74520402624995,94.5,1530.3125,54.50000000000001,1.0,94.25,7.236,94.0,0.10000000000000002,4938.981821375001,5290923.9375,2.1312499999999996,2.15625,0.7546249999999999,13.725000000000001,Developed
25,Burkina Faso,55.64374999999999,252.5,44.75,4.241333333333333,52.0455813263125,81.1,5091.75,15.499999999999998,79.9375,69.0,6.037999999999999,77.3125,1.8375,410.3720343125,6143694.8125,7.41875,6.9812499999999975,0.22968750000000002,5.40625,Developing
26,Burundi,55.537499999999994,291.5625,23.25,4.103333333333334,15.335497774875002,93.33333333333333,1349.5,15.312500000000002,35.5625,86.625,7.089333333333333,85.75,3.0875000000000004,137.81532131875,3915446.6875,8.01875,8.012500000000001,0.32787499999999997,7.481250000000001,Developing
27,Cabo Verde,72.51875,116.1875,0.0,3.448,188.6329873781875,80.64285714285714,0.125,24.375,0.0,84.375,4.755333333333334,79.0,0.53125,2023.54103925,292600.25,8.012500000000001,7.9750000000000005,0.57,12.200000000000001,Developing
28,Cambodia,64.34375,196.375,16.75,1.4860000000000002,33.7965609773125,79.6,1880.8125,15.362500000000004,20.5,74.1875,5.740666666666668,72.0625,1.0250000000000001,466.19687804999995,7145967.4375,10.143749999999999,10.881250000000001,0.49193749999999997,9.874999999999998,Developing
29,Cameroon,54.01875,294.875,54.9375,4.141333333333334,44.462299938687494,76.81818181818181,2979.25,23.618750000000002,86.1875,72.5,4.719333333333334,69.4375,6.212500000000001,781.0160044124999,9967291.9375,6.550000000000001,6.606249999999999,0.47000000000000003,8.90625,Developing
30,Canada,81.6875,64.625,2.0,8.053333333333333,4694.078971425001,28.846153846153847,129.5,55.86249999999999,2.0,85.3125,7.052000000000001,91.0625,0.10000000000000002,29382.907523125003,11364053.8125,0.50625,0.4375000000000001,0.8921875000000001,15.875000000000005,Developing
31,Central African Republic,48.51250000000001,333.0625,16.5,1.2313333333333334,40.905543112125,42.57142857142857,699.4375,17.0875,24.5,41.3125,4.039333333333334,42.4375,8.981250000000001,363.05590484999993,2016546.125,7.106250000000001,7.087500000000001,0.3355,6.2375,Developing
32,Chad,50.3875,227.75,44.875,0.41133333333333333,32.277320497062505,29.875,4687.75,16.318749999999998,78.125,32.875,4.379333333333333,26.8125,4.3375,484.7916940562499,4114092.0625,7.14375,7.043750000000001,0.316625,6.0874999999999995,Developing
33,Chile,79.44999999999999,63.625,2.0,6.978,775.5408127837499,77.2,1.0625,55.5875,2.1875,83.625,6.911333333333334,88.8125,0.10000000000000002,6202.344363562499,14671763.9375,0.8875000000000001,0.9125000000000001,0.8013125,14.9,Developing
34,China,74.2625,73.75,294.875,4.182000000000001,73.5837628956875,80.4375,65857.9375,21.80625,350.0,93.6875,4.918,93.3125,0.10000000000000002,2345.3031576875,321812.0625,4.6375,4.025,0.66025,11.4375,Developing
35,Colombia,73.28750000000001,124.25,13.875,4.419333333333333,516.640179215,79.0,9.5,49.54375,16.375,84.25,6.34,79.1875,0.10000000000000002,3321.6607483124994,31767432.625,2.3000000000000003,2.075,0.6818750000000001,12.231250000000003,Developing
36,Comoros,61.581250000000004,240.9375,1.6875,0.13466666666666666,47.7314576225,76.46153846153847,62.625,18.256249999999998,2.0,67.8125,4.832,66.9375,0.28124999999999994,630.38433406875,532200.6875,7.275,7.1625000000000005,0.32462499999999994,9.95625,Developing
37,Congo,59.04375,322.75,7.875,2.1733333333333333,0.0,50.77777777777778,1021.625,20.925000000000004,11.6875,52.4375,2.986666666666667,55.25,4.987499999999999,,,8.4875,8.125,0.5283125,10.0875,Developing
39,Costa Rica,78.59374999999999,69.375,1.0,3.924666666666667,972.3591498793747,79.3125,0.1875,46.72499999999999,1.0,69.9375,8.620000000000001,79.75,0.10000000000000002,3957.22728625,2309299.4375,1.9625,1.9062500000000002,0.7369375,12.837499999999999,Developing
40,Croatia,76.11875,89.0,0.0,12.448000000000002,1162.85632917,96.22222222222223,23.6875,52.356249999999996,0.0,95.5,7.370666666666666,95.375,0.10000000000000002,9056.7847190625,1159772.375,1.74375,1.7187499999999998,0.7890625000000001,13.887500000000001,Developed
41,Cuba,77.97500000000001,57.5625,1.0,4.190666666666667,364.56385808368753,96.25,0.0,49.46249999999999,1.0,98.6875,6.428666666666667,93.9375,0.10000000000000002,3180.4348844375,,3.4437499999999996,3.268749999999999,0.7421250000000001,14.69375,Developing
42,Cyprus,79.675,54.125,0.0,10.260666666666667,932.6673898875001,92.625,1.9375,53.16249999999999,0.0,98.0,6.760000000000001,98.0,0.10000000000000002,13898.88550125,390274.375,0.9062500000000002,1.0,0.8330625000000002,13.51875,Developed
43,Czechia,76.76875,71.8125,0.0,13.026000000000002,0.0,97.28571428571429,22.9375,55.71249999999999,0.0,98.0,7.05,98.125,0.10000000000000002,,,1.9937500000000001,2.0625,,,Developed
44,Côte d'Ivoire,50.3875,417.3125,61.5,2.8373333333333335,0.0,63.93333333333333,1708.25,21.324999999999996,86.8125,65.9375,5.723333333333333,68.9375,4.6875,,,6.7375,6.6937500000000005,,,Developing
45,Democratic People's Republic of Korea,69.19375000000001,160.8125,9.9375,3.0000000000000004,0.0,88.84615384615384,222.5625,25.624999999999996,12.8125,98.25,,83.25,0.10000000000000002,,,5.437500000000001,5.45,,,Developing
46,Democratic Republic of the Congo,55.687499999999986,265.375,234.5,1.424,0.0,51.333333333333336,48922.6875,15.8375,323.5,55.625,3.5586666666666673,41.875,1.8187499999999999,,,8.14375,7.956250000000001,,,Developing
47,Denmark,79.25625000000001,66.0625,0.0,10.707999999999998,5313.33579445625,,15.75,55.824999999999996,0.0,88.0,7.822666666666667,88.0,0.10000000000000002,33067.407915625,4260081.375,1.1624999999999996,0.9375000000000001,0.8998749999999999,17.19375,Developed
48,Djibouti,60.75625,274.6875,1.4375,0.7639999999999999,98.83844812187499,78.0,113.875,26.25,1.875,74.875,7.070666666666667,75.125,3.28125,897.9998706499999,634116.1875,5.84375,5.7,0.41843749999999996,4.750000000000001,Developing
50,Dominican Republic,72.34374999999999,143.5,6.4375,6.030666666666666,360.67899713687495,65.125,23.0,48.14375000000001,7.8125,75.625,4.681333333333334,83.1875,1.41875,3509.4991863125,4448642.6875,3.46875,3.3750000000000004,0.6849999999999999,12.74375,Developing
51,Ecuador,74.72500000000001,132.125,7.375,3.8073333333333332,109.40605116625,78.0625,20.75,43.3125,8.75,78.75,5.879999999999999,89.1875,0.19374999999999998,2005.3524679375,8710592.0625,1.3812500000000003,1.26875,0.6988749999999999,13.012500000000001,Developing
52,Egypt,71.5,170.625,56.25,0.18866666666666668,0.0,96.6875,1069.25,49.262499999999996,67.625,96.6875,5.346,96.6875,0.10000000000000002,,,3.125,3.075,0.6476249999999999,11.893749999999999,Developing
53,El Salvador,71.74375,155.0625,2.5625,2.6926666666666668,341.5691573100001,86.0625,0.125,45.324999999999996,2.875,82.25,7.103333333333334,87.1875,0.28750000000000003,2517.8346304375,2930826.5,1.80625,1.7249999999999999,0.6504375,12.656250000000002,Developing
54,Equatorial Guinea,55.3125,279.375,3.0,7.341999999999999,552.671538039375,9.0,294.5,17.85625,4.0,36.875,2.9293333333333327,29.9375,5.1375,7902.4107885625,556765.3125,6.65625,6.599999999999999,0.5361875,8.325,Developing
55,Eritrea,60.6875,308.625,6.3125,0.608,6.4360693815625,86.42857142857143,175.0,15.15625,8.9375,87.8125,3.468666666666667,82.25,1.2125,259.3953562916667,2071919.3333333333,8.08125,8.01875,0.2553125,4.925000000000001,Developing
56,Estonia,74.94375,169.6875,0.0,9.014666666666665,859.5750084284374,86.83333333333333,3.5,56.68125,0.0,94.25,5.687333333333333,94.125,0.10000000000000002,8340.4329494375,791848.6875,2.075,2.1375,0.8233125,15.9375,Developing
57,Ethiopia,59.11250000000001,285.5625,187.75,1.0746666666666667,32.482109182375,64.11111111111111,3948.375,14.799999999999999,288.5,51.125,4.901333333333334,46.1875,2.7249999999999996,264.97094995000003,43950760.75,8.38125,6.475,0.346125,6.8,Developing
58,Fiji,68.7125,125.0,0.0,1.462666666666667,139.15683759693752,98.875,50.0,50.562500000000014,0.0,97.125,3.8973333333333335,91.6875,0.10000000000000002,2947.6126888750005,650205.125,4.093750000000001,3.7937499999999993,0.7022499999999999,14.18125,Developing
59,Finland,80.7125,68.875,0.0,9.552666666666669,2889.3154698924996,,2.8125,52.300000000000004,0.0,97.1875,8.614,98.25,0.10000000000000002,25268.649758125,3493082.3125,0.9000000000000002,0.8062500000000001,0.8729374999999999,17.29375,Developing
60,France,82.21875,73.125,2.9375,12.40466666666667,3751.5065741337494,51.25,2661.625,51.98125,3.4375,98.25,6.555999999999999,98.0625,0.10000000000000002,26465.551380625,27581733.125,0.6249999999999998,0.5999999999999999,0.8705624999999998,15.899999999999999,Developing
61,Gabon,62.243750000000006,220.4375,2.0,7.8773333333333335,261.077778610625,57.63636363636363,349.8125,28.818749999999998,3.0,57.25,3.1753333333333327,54.5,8.0,5179.2561886250005,1007302.3125,6.91875,6.775,0.6543749999999999,12.412500000000003,Developing
62,Gambia,59.462500000000006,249.625,3.0,2.1346666666666665,0.0,95.375,41.25,20.300000000000004,5.6875,92.75,5.3086666666666655,88.5,2.34375,,,7.5875,7.50625,0.42018750000000005,8.125,Developing
63,Georgia,73.50625,114.9375,1.1875,5.623333333333334,99.5257140183125,77.25,1298.0,47.74375,1.25,81.1875,7.3306666666666676,83.5,0.10000000000000002,2158.2808692812496,10152.375,2.75,2.89375,0.6779375,12.674999999999999,Developing
64,Germany,81.175,71.25,2.5,11.628666666666668,3900.8902608937497,77.4375,1497.1875,51.993750000000006,3.25,94.8125,4.073333333333333,89.875,0.10000000000000002,24337.749100000005,38757347.4375,1.1187499999999997,1.1062499999999997,0.8945000000000001,16.6,Developed
