Country,Life expectancy,Adult Mortality,Infant Mortality,Alcohol,Hepatitis B,Measles,Under five Mortality,Polio,Total expenditure,Diphtheria,GDP,Population,thinness 10-19 years,thinness 5-9 years,Income composition of resources,Schooling,Status,Diseases Mortality,Child Mortality,Mortality Rate
Albania,75.15624999999999,3.8080504150451677,2.7247844000933754,4.84875,98.0,53.375,2.8405028871319162,4.586242176102573,1.7826556549785844,4.585605030493252,8.063309622858322,696911.625,1.61875,1.7,0.709875,2.496299833617443,Developing,17.67875,3.094375,12.46771270227046
Algeria,73.61874999999999,4.683865832936428,3.2866512889487134,0.4066666666666668,78.0,1943.875,3.4399171680905405,4.51906748693468,1.5269254908596361,4.520428957533,8.230337882640828,21649827.4375,6.09375,5.975,0.694875,2.5425857613746783,Developing,15.87875,4.83,16.24043428997568
Angola,49.01875,5.794727078579667,4.484329355037158,5.740666666666666,70.22222222222223,3561.3125,4.969122957177844,3.8313551023606913,1.3659215713119537,3.8646693090446758,7.993757430030502,10147099.1875,6.1937500000000005,6.668750000000001,0.4583749999999999,2.0848953923623,Developing,25.84875,30.855625,46.10380439079467
Antigua and Barbuda,75.05624999999999,4.848116364598481,2.2904492506495227,7.949333333333333,98.26666666666668,0.0,2.4439218816041643,4.5740664409367575,1.566808730378141,4.588151180818497,9.462919996299217,,3.4250000000000003,3.375,0.4886249999999999,2.179710994843511,Developing,18.25875,2.39875,11.981237496852167
Argentina,75.15624999999999,4.663439094112067,2.628059575405717,7.966666666666667,81.28571428571429,2.0,2.741001301241896,4.536623643452981,1.9333554774679766,4.525856379268366,9.097832258476698,20121204.5,1.0749999999999995,0.95,0.794125,2.8037390970633056,Developing,18.410625,2.578125,12.61062497075968
Armenia,73.39999999999999,4.765373937528427,2.955593639239955,3.7026666666666666,87.5625,274.25,3.0729247693838966,4.49003987873446,1.5813127487082523,4.470209200553974,7.824709234749196,1015164.625,2.0375,2.1125000000000007,0.698375,2.467039647959576,Developing,24.9175,1.925625,12.719517346152278
Australia,81.81250000000001,4.14610649678069,1.4590509741704916,10.155333333333331,93.4,103.9375,1.6404519659632697,4.4630304188269685,2.1789097316328245,4.464470303884956,10.721366875739893,4587009.875,0.66875,0.6249999999999998,0.9181249999999996,2.9976055179356713,Developed,10.71,1.06875,8.314359436914451
Austria,81.48124999999999,4.185859671057874,1.3404140218008527,12.236,81.0625,77.25,1.5287700093666456,4.454347296253507,1.5508196099456886,4.4630304188269685,10.636994373440238,6474879.875,1.7312499999999995,1.9374999999999996,0.862375,2.7335554915105718,Developed,12.790625,1.04875,8.103793702225373
Azerbaijan,70.73124999999999,4.746561235430042,3.679192057440547,0.992,59.21428571428572,598.1875,3.840177855774802,4.328263186704269,1.736833854952539,4.4105229795035,8.297012688105074,2157370.5,2.9000000000000004,2.94375,0.7026874999999999,2.4292177439274116,Developing,30.610625,4.253125,16.51905614864539
Bahamas,74.28750000000001,5.024291620543742,2.607953584563925,10.271333333333333,83.6,0.0,2.7620647894084485,4.553876891600541,1.903002648044037,4.561740628060756,10.282274910628376,,2.5500000000000007,2.5187500000000003,0.7379375000000001,2.5197105719826927,Developing,20.006875,3.53875,13.933059994516114
Bahrain,75.72500000000001,4.180139922385087,2.117158721246612,1.9346666666666663,98.125,6.6875,2.270707354096023,4.584967478670572,1.3369290315745614,4.585605030493252,9.87143140798854,,6.10625,5.950000000000001,0.8079374999999998,2.6470609294757805,Developing,22.166875,2.496875,11.064880997727723
Bangladesh,69.3,4.951415934436285,3.8047718146811698,0.01,77.61538461538461,4649.9375,4.065730730022362,4.471638793363569,1.0489550820593265,4.529907701487544,6.580908458740051,42985163.875,13.775,14.33125,0.517875,2.1626043766896164,Developing,21.709375,9.3425,22.164418479139815
Barbados,74.35625,4.351889540253643,2.630403925246387,8.206666666666669,84.06666666666666,0.0,2.7163903253772115,4.385925275089539,1.8118888405232207,4.499114984647586,9.594970176864315,,3.95625,3.9187500000000006,0.7704375,2.700941661864915,Developing,16.336875,2.250625,11.949308790877241
Belarus,69.90625,5.387929525237724,1.7410142702228197,13.497333333333332,88.9375,24.8125,2.0056099736306723,4.498419816041211,1.823258136287426,4.523824546534139,8.434634156362625,6371866.8125,2.2125,2.3375,0.7432499999999999,2.691243082785829,Developing,31.0275,2.249375,11.383928769091217
Belgium,80.68124999999999,4.251170232498662,1.3548681914325216,11.042666666666666,74.5,81.5625,1.5597223201881676,4.582413198865475,1.7854059952558798,4.577927449594217,10.571054743279024,2884042.5625,0.8625000000000004,0.8562500000000004,0.8777500000000001,2.820634561849356,Developed,13.281875,1.1375,8.303260744119353
Belize,69.26875,5.0466457316192885,2.8257961990356684,6.252666666666668,94.75,0.0,2.983026901056437,4.5591262474866845,1.6172737982018752,4.5558486306553805,8.33610397301821,170392.875,3.5562500000000004,3.4875000000000003,0.6939374999999999,2.5222225049789677,Developing,17.925625,3.8737500000000002,14.729218831711396
Benin,57.56875,5.596104460858013,4.308514638737202,1.0,62.57142857142857,1116.875,4.766805287524976,4.214901524761209,1.5338519254775054,4.218588164881428,6.836949931136858,3942978.9375,8.25,8.1375,0.4380624999999999,2.180417459019838,Developing,24.491875,26.488125,41.159549387120194
Bhutan,66.1625,5.439165675135416,3.694845993861719,0.2786666666666667,94.125,80.25,3.9400272018377436,4.492841001014172,1.6763486177167273,4.541964110084299,7.416801958921929,492584.9375,17.21875,17.925,0.183875,2.3248357019288655,Developing,20.560624999999998,10.71875,23.79278887083488
Bosnia and Herzegovina,75.96875000000001,4.173425268859446,1.9447487606190579,4.405333333333333,71.66666666666667,319.1875,2.080690761080268,4.360707232656287,2.168138996441123,4.363098624788363,8.2194903510787,1986993.0625,2.78125,2.75625,0.450375,2.5034830353609356,Developing,20.654374999999998,1.403125,9.601989790558772
Botswana,56.05,6.1050722113538844,3.261144772047367,4.67,87.3125,237.875,3.8215921523246252,4.566299411599098,1.7066856079813761,4.562393156632033,8.645653983618688,1063867.375,7.4375,7.8125,0.6303749999999999,2.496299833617443,Developing,33.97875,9.268125,22.455934135725876
Brazil,73.38125,5.01520815594139,3.006455820250213,7.213333333333333,96.1875,95.375,3.125800645588441,4.588151180818497,2.081855292903771,4.584329520116239,8.939138057664977,88128071.25,3.05,3.0125,0.7101875,2.650597626354125,Developing,18.6,3.01375,14.161214621780044
Brunei Darussalam,76.48750000000001,4.205625020390917,2.079597779474076,0.3786666666666667,97.875,7.3125,2.287217615862924,4.579852378003801,1.0367368849500223,4.572776118177087,10.39349432633829,,6.199999999999999,5.674999999999999,0.839375,2.6466179615837087,Developing,20.90875,2.970625,11.543065415727916
Bulgaria,72.85,4.832305758571839,2.323490053673942,10.865333333333332,94.5,1530.3125,2.5083790059731426,4.54595082632812,1.9790685675330486,4.543294782270004,8.571748092299227,5290923.9375,2.13125,2.15625,0.7546249999999999,2.6192189873955942,Developed,26.31,2.575625,12.239799818218923
Burkina Faso,55.64374999999999,5.531411248715415,4.3152105217922525,4.241333333333333,81.1,5091.75,4.930418960239455,4.23410650459726,1.798072831284647,4.347855650152707,6.182578072715546,6143694.8125,7.41875,6.9812499999999975,0.2296875,1.6875556916980523,Developing,25.240625,26.40125,41.17829073074712
