IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EUR,Europe,Country,SMR,San Marino,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,1.99,,,1.14,,3.53,1.99 [1.14 – 3.53],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,10.15,,,9.48,,10.85,10.15 [9.48 – 10.85],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EUR,Europe,Country,GEO,Georgia,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,10.52,,,9.84,,11.22,10.52 [9.84 – 11.22],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,10.6,,,9.9,,11.36,10.6 [9.9 – 11.36],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,WPR,Western Pacific,Country,CHN,China,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,10.71,,,10.07,,11.4,10.71 [10.07 – 11.4],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,10.8,,,9.5,,12.75,10.8 [9.5 – 12.75],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,100.7,,,82.53,,122.8,100.7 [82.53 – 122.8],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,GIN,Guinea,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,107.9,,,95.42,,122.5,107.9 [95.42 – 122.5],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,MLI,Mali,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,108.6,,,94.85,,123.8,108.6 [94.85 – 123.8],,,EN,2020-09-22T03:00:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2015,false,Sex,Both sexes,BTSX,,,,,,,,,,11.21,,,10.92,,11.52,11.21 [10.92 – 11.52],,,EN,2020-09-22T03:00:00.000Z
